Genre,Rating
Animation,7.324489795918367
Biography,7.31875
Drama,6.954871794871795
Adventure,6.908
Mystery,6.876923076923077
Crime,6.807042253521127
Romance,6.6
Action,6.592491467576791
Comedy,6.493142857142857
Thriller,5.96
Horror,5.867391304347826
Fantasy,5.85
Sci-Fi,4.966666666666667
